Id,class1,class2
73,aerophone,aero_single-reed
74,chordophone,chrd_composite
75,aerophone,aero_lip-vibrated
76,aerophone,aero_lip-vibrated
77,aerophone,aero_lip-vibrated
78,chordophone,chrd_composite
79,aerophone,aero_double-reed
80,aerophone,aero_side
81,aerophone,aero_single-reed
82,aerophone,aero_single-reed
83,aerophone,aero_lip-vibrated
84,chordophone,chrd_composite
85,aerophone,aero_single-reed
86,aerophone,aero_side
87,aerophone,aero_single-reed
88,chordophone,chrd_composite
89,chordophone,chrd_composite
90,aerophone,aero_double-reed
91,aerophone,aero_free-reed
92,aerophone,aero_single-reed
93,aerophone,aero_lip-vibrated
94,aerophone,aero_side
95,aerophone,aero_single-reed
96,aerophone,aero_lip-vibrated
97,chordophone,chrd_composite
98,aerophone,aero_lip-vibrated
99,aerophone,aero_lip-vibrated
100,chordophone,chrd_simple
101,chordophone,chrd_composite
102,aerophone,aero_side
103,aerophone,aero_single-reed
104,aerophone,aero_lip-vibrated
105,aerophone,aero_lip-vibrated
106,chordophone,chrd_composite
107,aerophone,aero_single-reed
108,aerophone,aero_double-reed
109,aerophone,aero_double-reed
110,aerophone,aero_lip-vibrated
111,aerophone,aero_side
112,aerophone,aero_side
113,chordophone,chrd_composite
114,aerophone,aero_single-reed
115,aerophone,aero_double-reed
116,aerophone,aero_lip-vibrated
117,aerophone,aero_single-reed
118,chordophone,chrd_composite
119,chordophone,chrd_composite
120,aerophone,aero_lip-vibrated
121,aerophone,aero_side
122,aerophone,aero_lip-vibrated
123,aerophone,aero_single-reed
124,aerophone,aero_side
125,aerophone,aero_single-reed
126,aerophone,aero_double-reed
127,aerophone,aero_lip-vibrated
128,chordophone,chrd_composite
129,aerophone,aero_lip-vibrated
130,chordophone,chrd_composite
131,aerophone,aero_double-reed
132,chordophone,chrd_composite
133,chordophone,chrd_composite
134,aerophone,aero_lip-vibrated
135,chordophone,chrd_composite
136,aerophone,aero_single-reed
137,aerophone,aero_double-reed
138,aerophone,aero_single-reed
139,chordophone,chrd_composite
140,aerophone,aero_free-reed
141,aerophone,aero_single-reed
142,aerophone,aero_free-reed
143,aerophone,aero_single-reed
144,chordophone,chrd_composite
145,aerophone,aero_double-reed
146,aerophone,aero_lip-vibrated
147,aerophone,aero_lip-vibrated
148,aerophone,aero_side
149,aerophone,aero_lip-vibrated
150,aerophone,aero_single-reed
151,aerophone,aero_side
152,aerophone,aero_side
153,chordophone,chrd_composite
154,aerophone,aero_single-reed
155,aerophone,aero_free-reed
156,aerophone,aero_lip-vibrated
157,chordophone,chrd_composite
158,chordophone,chrd_composite
159,chordophone,chrd_simple
160,aerophone,aero_lip-vibrated
161,chordophone,chrd_composite
162,chordophone,chrd_composite
163,chordophone,chrd_composite
164,aerophone,aero_lip-vibrated
165,aerophone,aero_lip-vibrated
166,aerophone,aero_single-reed
167,aerophone,aero_side
168,aerophone,aero_lip-vibrated
169,aerophone,aero_free-reed
170,chordophone,chrd_composite
171,chordophone,chrd_simple
172,aerophone,aero_single-reed
173,chordophone,chrd_composite
174,aerophone,aero_lip-vibrated
175,chordophone,chrd_composite
176,aerophone,aero_single-reed
177,aerophone,aero_single-reed
178,chordophone,chrd_composite
179,aerophone,aero_lip-vibrated
180,aerophone,aero_single-reed
181,aerophone,aero_side
182,aerophone,aero_side
183,aerophone,aero_lip-vibrated
184,aerophone,aero_lip-vibrated
185,chordophone,chrd_composite
186,aerophone,aero_side
187,chordophone,chrd_composite
188,chordophone,chrd_composite
189,aerophone,aero_single-reed
190,aerophone,aero_lip-vibrated
191,chordophone,chrd_composite
192,aerophone,aero_lip-vibrated
193,aerophone,aero_side
194,chordophone,chrd_composite
195,aerophone,aero_lip-vibrated
196,aerophone,aero_lip-vibrated
197,chordophone,chrd_composite
198,aerophone,aero_double-reed
199,chordophone,chrd_composite
200,chordophone,chrd_composite
201,chordophone,chrd_simple
202,aerophone,aero_single-reed
203,aerophone,aero_single-reed
204,aerophone,aero_double-reed
205,aerophone,aero_lip-vibrated
206,aerophone,aero_single-reed
207,aerophone,aero_single-reed
208,aerophone,aero_single-reed
209,chordophone,chrd_simple
210,aerophone,aero_lip-vibrated
211,aerophone,aero_lip-vibrated
212,aerophone,aero_side
213,aerophone,aero_lip-vibrated
214,aerophone,aero_lip-vibrated
215,aerophone,aero_double-reed
216,aerophone,aero_lip-vibrated
217,chordophone,chrd_composite
218,chordophone,chrd_composite
219,aerophone,aero_lip-vibrated
220,aerophone,aero_lip-vibrated
221,aerophone,aero_lip-vibrated
222,aerophone,aero_lip-vibrated
223,aerophone,aero_single-reed
224,aerophone,aero_lip-vibrated
225,aerophone,aero_free-reed
226,chordophone,chrd_composite
227,aerophone,aero_lip-vibrated
228,aerophone,aero_lip-vibrated
229,aerophone,aero_lip-vibrated
230,chordophone,chrd_composite
231,aerophone,aero_side
232,aerophone,aero_single-reed
233,chordophone,chrd_simple
234,aerophone,aero_double-reed
235,chordophone,chrd_simple
236,aerophone,aero_double-reed
237,chordophone,chrd_composite
238,aerophone,aero_side
239,aerophone,aero_single-reed
240,chordophone,chrd_composite
241,chordophone,chrd_composite
242,chordophone,chrd_composite
243,aerophone,aero_lip-vibrated
244,chordophone,chrd_composite
245,chordophone,chrd_composite
246,chordophone,chrd_composite
247,aerophone,aero_lip-vibrated
248,aerophone,aero_double-reed
249,aerophone,aero_lip-vibrated
250,aerophone,aero_side
251,aerophone,aero_single-reed
252,chordophone,chrd_composite
253,aerophone,aero_lip-vibrated
254,aerophone,aero_lip-vibrated
255,chordophone,chrd_composite
256,chordophone,chrd_composite
257,chordophone,chrd_composite
258,chordophone,chrd_simple
259,chordophone,chrd_composite
260,chordophone,chrd_simple
261,aerophone,aero_side
262,aerophone,aero_single-reed
263,chordophone,chrd_simple
264,aerophone,aero_side
265,aerophone,aero_free-reed
266,aerophone,aero_lip-vibrated
267,aerophone,aero_lip-vibrated
268,aerophone,aero_double-reed
269,aerophone,aero_free-reed
270,aerophone,aero_lip-vibrated
271,aerophone,aero_double-reed
272,aerophone,aero_side
273,aerophone,aero_double-reed
274,aerophone,aero_lip-vibrated
275,chordophone,chrd_composite
276,aerophone,aero_double-reed
277,aerophone,aero_lip-vibrated
278,aerophone,aero_side
279,aerophone,aero_single-reed
280,chordophone,chrd_composite
281,aerophone,aero_single-reed
282,aerophone,aero_side
283,chordophone,chrd_composite
284,chordophone,chrd_composite
285,aerophone,aero_side
286,chordophone,chrd_composite
287,aerophone,aero_single-reed
288,aerophone,aero_single-reed
289,chordophone,chrd_simple
290,aerophone,aero_lip-vibrated
291,chordophone,chrd_simple
292,aerophone,aero_side
293,chordophone,chrd_simple
294,aerophone,aero_double-reed
295,aerophone,aero_lip-vibrated
296,aerophone,aero_double-reed
297,aerophone,aero_lip-vibrated
298,aerophone,aero_lip-vibrated
299,chordophone,chrd_simple
300,aerophone,aero_single-reed
301,aerophone,aero_double-reed
302,aerophone,aero_lip-vibrated
303,chordophone,chrd_simple
304,chordophone,chrd_simple
305,chordophone,chrd_composite
306,chordophone,chrd_composite
307,chordophone,chrd_composite
308,aerophone,aero_lip-vibrated
309,aerophone,aero_double-reed
310,aerophone,aero_side
311,chordophone,chrd_composite
312,chordophone,chrd_composite
313,aerophone,aero_side
314,aerophone,aero_single-reed
315,aerophone,aero_lip-vibrated
316,aerophone,aero_single-reed
317,chordophone,chrd_composite
318,aerophone,aero_single-reed
319,chordophone,chrd_simple
320,chordophone,chrd_composite
321,aerophone,aero_lip-vibrated
322,aerophone,aero_lip-vibrated
323,aerophone,aero_double-reed
324,aerophone,aero_lip-vibrated
325,chordophone,chrd_composite
326,chordophone,chrd_composite
327,chordophone,chrd_composite
328,chordophone,chrd_composite
329,chordophone,chrd_composite
330,chordophone,chrd_composite
331,chordophone,chrd_simple
332,aerophone,aero_lip-vibrated
333,chordophone,chrd_simple
334,aerophone,aero_lip-vibrated
335,aerophone,aero_lip-vibrated
336,chordophone,chrd_composite
337,chordophone,chrd_composite
338,aerophone,aero_lip-vibrated
339,aerophone,aero_side
340,aerophone,aero_lip-vibrated
341,aerophone,aero_lip-vibrated
342,aerophone,aero_single-reed
343,chordophone,chrd_composite
344,aerophone,aero_single-reed
345,chordophone,chrd_composite
346,aerophone,aero_side
347,aerophone,aero_side
348,chordophone,chrd_composite
349,chordophone,chrd_composite
350,aerophone,aero_single-reed
351,aerophone,aero_single-reed
352,aerophone,aero_side
353,aerophone,aero_lip-vibrated
354,chordophone,chrd_composite
355,aerophone,aero_lip-vibrated
356,chordophone,chrd_composite
357,aerophone,aero_lip-vibrated
358,aerophone,aero_lip-vibrated
359,aerophone,aero_double-reed
360,aerophone,aero_double-reed
361,aerophone,aero_lip-vibrated
362,aerophone,aero_double-reed
363,aerophone,aero_single-reed
364,chordophone,chrd_composite
365,aerophone,aero_single-reed
366,aerophone,aero_side
367,chordophone,chrd_composite
368,aerophone,aero_lip-vibrated
369,chordophone,chrd_simple
370,aerophone,aero_lip-vibrated
371,aerophone,aero_single-reed
372,aerophone,aero_lip-vibrated
373,aerophone,aero_lip-vibrated
374,aerophone,aero_lip-vibrated
375,aerophone,aero_double-reed
376,chordophone,chrd_composite
377,aerophone,aero_lip-vibrated
378,chordophone,chrd_composite
379,aerophone,aero_lip-vibrated
380,aerophone,aero_free-reed
381,chordophone,chrd_simple
382,chordophone,chrd_simple
383,aerophone,aero_side
384,chordophone,chrd_simple
385,aerophone,aero_side
386,aerophone,aero_single-reed
387,aerophone,aero_single-reed
388,aerophone,aero_side
389,aerophone,aero_side
390,chordophone,chrd_composite
391,aerophone,aero_single-reed
392,aerophone,aero_single-reed
393,aerophone,aero_lip-vibrated
394,aerophone,aero_lip-vibrated
395,chordophone,chrd_simple
396,chordophone,chrd_composite
397,aerophone,aero_lip-vibrated
398,aerophone,aero_lip-vibrated
399,aerophone,aero_lip-vibrated
400,aerophone,aero_double-reed
401,aerophone,aero_lip-vibrated
402,chordophone,chrd_composite
403,chordophone,chrd_composite
404,aerophone,aero_double-reed
405,aerophone,aero_single-reed
406,chordophone,chrd_composite
407,aerophone,aero_lip-vibrated
408,aerophone,aero_single-reed
409,chordophone,chrd_composite
410,chordophone,chrd_composite
411,chordophone,chrd_composite
412,aerophone,aero_lip-vibrated
413,chordophone,chrd_simple
414,chordophone,chrd_simple
415,chordophone,chrd_composite
416,chordophone,chrd_composite
417,chordophone,chrd_composite
418,aerophone,aero_lip-vibrated
419,chordophone,chrd_composite
420,aerophone,aero_double-reed
421,chordophone,chrd_composite
422,chordophone,chrd_composite
423,chordophone,chrd_composite
424,chordophone,chrd_composite
425,aerophone,aero_side
426,aerophone,aero_lip-vibrated
427,chordophone,chrd_composite
428,aerophone,aero_single-reed
429,chordophone,chrd_composite
430,aerophone,aero_side
431,aerophone,aero_lip-vibrated
432,chordophone,chrd_simple
433,chordophone,chrd_composite
434,chordophone,chrd_composite
435,chordophone,chrd_composite
436,aerophone,aero_side
437,aerophone,aero_single-reed
438,aerophone,aero_side
439,chordophone,chrd_simple
440,chordophone,chrd_simple
441,aerophone,aero_lip-vibrated
442,aerophone,aero_single-reed
443,aerophone,aero_lip-vibrated
444,aerophone,aero_double-reed
445,aerophone,aero_lip-vibrated
446,aerophone,aero_single-reed
447,chordophone,chrd_simple
448,chordophone,chrd_simple
449,chordophone,chrd_composite
450,aerophone,aero_side
451,aerophone,aero_side
452,chordophone,chrd_composite
453,chordophone,chrd_composite
454,chordophone,chrd_simple
455,aerophone,aero_single-reed
456,aerophone,aero_single-reed
457,chordophone,chrd_composite
458,aerophone,aero_single-reed
459,aerophone,aero_side
460,aerophone,aero_side
461,aerophone,aero_lip-vibrated
462,aerophone,aero_single-reed
463,chordophone,chrd_composite
464,aerophone,aero_lip-vibrated
465,aerophone,aero_side
466,aerophone,aero_single-reed
467,aerophone,aero_side
468,chordophone,chrd_composite
469,chordophone,chrd_composite
470,aerophone,aero_side
471,aerophone,aero_lip-vibrated
472,chordophone,chrd_composite
473,aerophone,aero_double-reed
474,aerophone,aero_lip-vibrated
475,aerophone,aero_lip-vibrated
476,chordophone,chrd_composite
477,aerophone,aero_side
478,aerophone,aero_side
479,aerophone,aero_lip-vibrated
480,aerophone,aero_single-reed
481,aerophone,aero_single-reed
482,aerophone,aero_double-reed
483,aerophone,aero_lip-vibrated
484,aerophone,aero_lip-vibrated
485,aerophone,aero_side
486,chordophone,chrd_simple
487,aerophone,aero_lip-vibrated
488,aerophone,aero_side
489,aerophone,aero_single-reed
490,chordophone,chrd_composite
491,chordophone,chrd_composite
492,aerophone,aero_double-reed
493,chordophone,chrd_composite
494,chordophone,chrd_simple
495,aerophone,aero_single-reed
496,chordophone,chrd_composite
497,aerophone,aero_single-reed
498,aerophone,aero_single-reed
499,chordophone,chrd_composite
500,aerophone,aero_single-reed
501,aerophone,aero_single-reed
502,aerophone,aero_lip-vibrated
503,aerophone,aero_lip-vibrated
504,chordophone,chrd_composite
505,aerophone,aero_lip-vibrated
506,aerophone,aero_side
507,aerophone,aero_lip-vibrated
508,aerophone,aero_single-reed
509,aerophone,aero_lip-vibrated
510,chordophone,chrd_composite
511,aerophone,aero_lip-vibrated
512,aerophone,aero_single-reed
513,chordophone,chrd_simple
514,chordophone,chrd_simple
515,aerophone,aero_lip-vibrated
516,aerophone,aero_single-reed
517,aerophone,aero_lip-vibrated
518,chordophone,chrd_simple
519,aerophone,aero_single-reed
520,aerophone,aero_single-reed
521,aerophone,aero_single-reed
522,aerophone,aero_double-reed
523,chordophone,chrd_composite
524,chordophone,chrd_composite
525,aerophone,aero_single-reed
526,aerophone,aero_single-reed
527,aerophone,aero_lip-vibrated
528,aerophone,aero_side
529,aerophone,aero_double-reed
530,aerophone,aero_lip-vibrated
531,aerophone,aero_lip-vibrated
532,chordophone,chrd_composite
533,aerophone,aero_double-reed
534,chordophone,chrd_composite
535,chordophone,chrd_composite
536,aerophone,aero_double-reed
537,aerophone,aero_side
538,aerophone,aero_single-reed
539,chordophone,chrd_simple
540,aerophone,aero_lip-vibrated
541,aerophone,aero_lip-vibrated
542,chordophone,chrd_simple
543,chordophone,chrd_simple
544,aerophone,aero_single-reed
545,aerophone,aero_side
546,aerophone,aero_single-reed
547,aerophone,aero_lip-vibrated
548,chordophone,chrd_composite
549,chordophone,chrd_composite
550,aerophone,aero_double-reed
551,aerophone,aero_lip-vibrated
552,aerophone,aero_lip-vibrated
553,chordophone,chrd_composite
554,chordophone,chrd_simple
555,aerophone,aero_lip-vibrated
556,chordophone,chrd_simple
557,aerophone,aero_single-reed
558,chordophone,chrd_composite
559,aerophone,aero_single-reed
560,aerophone,aero_lip-vibrated
561,aerophone,aero_side
562,chordophone,chrd_composite
563,aerophone,aero_side
564,aerophone,aero_single-reed
565,aerophone,aero_lip-vibrated
566,chordophone,chrd_composite
567,chordophone,chrd_composite
568,aerophone,aero_lip-vibrated
569,aerophone,aero_double-reed
570,chordophone,chrd_composite
571,aerophone,aero_lip-vibrated
572,chordophone,chrd_simple
573,chordophone,chrd_composite
574,chordophone,chrd_composite
575,chordophone,chrd_composite
576,chordophone,chrd_composite
577,aerophone,aero_double-reed
578,aerophone,aero_lip-vibrated
579,chordophone,chrd_simple
580,chordophone,chrd_composite
581,aerophone,aero_single-reed
582,aerophone,aero_double-reed
583,aerophone,aero_double-reed
584,aerophone,aero_side
585,aerophone,aero_single-reed
586,aerophone,aero_double-reed
587,aerophone,aero_lip-vibrated
588,chordophone,chrd_composite
589,aerophone,aero_lip-vibrated
590,aerophone,aero_lip-vibrated
591,aerophone,aero_side
592,aerophone,aero_single-reed
593,chordophone,chrd_composite
594,chordophone,chrd_composite
595,chordophone,chrd_simple
596,chordophone,chrd_composite
597,aerophone,aero_single-reed
598,aerophone,aero_side
599,chordophone,chrd_composite
600,aerophone,aero_lip-vibrated
601,chordophone,chrd_simple
602,chordophone,chrd_composite
603,aerophone,aero_single-reed
604,aerophone,aero_side
605,chordophone,chrd_composite
606,aerophone,aero_single-reed
607,chordophone,chrd_simple
608,aerophone,aero_lip-vibrated
609,chordophone,chrd_simple
610,chordophone,chrd_composite
611,aerophone,aero_double-reed
612,chordophone,chrd_composite
613,aerophone,aero_lip-vibrated
614,aerophone,aero_free-reed
615,aerophone,aero_single-reed
616,chordophone,chrd_composite
617,aerophone,aero_lip-vibrated
618,aerophone,aero_single-reed
619,aerophone,aero_side
620,chordophone,chrd_composite
621,aerophone,aero_lip-vibrated
622,chordophone,chrd_simple
623,aerophone,aero_single-reed
624,chordophone,chrd_composite
625,aerophone,aero_single-reed
626,aerophone,aero_lip-vibrated
627,aerophone,aero_lip-vibrated
628,aerophone,aero_double-reed
629,aerophone,aero_single-reed
630,chordophone,chrd_composite
631,aerophone,aero_lip-vibrated
632,aerophone,aero_lip-vibrated
633,chordophone,chrd_composite
634,aerophone,aero_lip-vibrated
635,chordophone,chrd_simple
636,aerophone,aero_lip-vibrated
637,chordophone,chrd_composite
638,aerophone,aero_double-reed
639,aerophone,aero_side
640,aerophone,aero_lip-vibrated
641,aerophone,aero_lip-vibrated
642,aerophone,aero_double-reed
643,aerophone,aero_side
644,aerophone,aero_lip-vibrated
645,aerophone,aero_single-reed
646,aerophone,aero_single-reed
647,aerophone,aero_single-reed
648,aerophone,aero_lip-vibrated
649,chordophone,chrd_composite
650,aerophone,aero_side
651,aerophone,aero_side
652,aerophone,aero_double-reed
653,aerophone,aero_side
654,aerophone,aero_side
655,aerophone,aero_double-reed
656,aerophone,aero_single-reed
657,aerophone,aero_side
658,aerophone,aero_lip-vibrated
659,aerophone,aero_lip-vibrated
660,aerophone,aero_side
661,aerophone,aero_free-reed
662,aerophone,aero_single-reed
663,aerophone,aero_double-reed
664,aerophone,aero_side
665,aerophone,aero_lip-vibrated
666,aerophone,aero_lip-vibrated
667,chordophone,chrd_simple
668,aerophone,aero_side
669,aerophone,aero_double-reed
670,chordophone,chrd_composite
671,chordophone,chrd_composite
672,aerophone,aero_single-reed
673,aerophone,aero_single-reed
674,aerophone,aero_single-reed
675,aerophone,aero_single-reed
676,chordophone,chrd_composite
677,chordophone,chrd_composite
678,aerophone,aero_single-reed
679,chordophone,chrd_simple
680,chordophone,chrd_composite
681,aerophone,aero_lip-vibrated
682,aerophone,aero_side
683,aerophone,aero_side
684,chordophone,chrd_simple
685,aerophone,aero_lip-vibrated
686,aerophone,aero_side
687,aerophone,aero_lip-vibrated
688,aerophone,aero_lip-vibrated
689,chordophone,chrd_composite
690,aerophone,aero_free-reed
691,aerophone,aero_lip-vibrated
692,aerophone,aero_single-reed
693,aerophone,aero_single-reed
694,aerophone,aero_lip-vibrated
695,aerophone,aero_lip-vibrated
696,aerophone,aero_side
697,aerophone,aero_side
698,aerophone,aero_single-reed
699,aerophone,aero_side
700,aerophone,aero_side
701,aerophone,aero_single-reed
702,chordophone,chrd_simple
703,aerophone,aero_double-reed
704,chordophone,chrd_composite
705,chordophone,chrd_composite
706,aerophone,aero_single-reed
707,aerophone,aero_double-reed
708,chordophone,chrd_composite
709,aerophone,aero_single-reed
710,aerophone,aero_lip-vibrated
711,aerophone,aero_lip-vibrated
712,aerophone,aero_single-reed
713,aerophone,aero_lip-vibrated
714,aerophone,aero_single-reed
715,aerophone,aero_side
716,aerophone,aero_single-reed
717,aerophone,aero_single-reed
718,chordophone,chrd_simple
719,aerophone,aero_side
720,aerophone,aero_single-reed
721,chordophone,chrd_composite
722,chordophone,chrd_composite
723,chordophone,chrd_composite
724,aerophone,aero_double-reed
725,aerophone,aero_side
726,chordophone,chrd_composite
727,aerophone,aero_lip-vibrated
728,chordophone,chrd_composite
729,chordophone,chrd_simple
730,chordophone,chrd_composite
731,chordophone,chrd_simple
732,chordophone,chrd_composite
733,aerophone,aero_side
734,aerophone,aero_lip-vibrated
735,aerophone,aero_lip-vibrated
736,aerophone,aero_single-reed
737,chordophone,chrd_composite
738,aerophone,aero_double-reed
739,aerophone,aero_lip-vibrated
740,chordophone,chrd_composite
741,chordophone,chrd_composite
742,aerophone,aero_single-reed
743,chordophone,chrd_composite
744,aerophone,aero_single-reed
745,chordophone,chrd_composite
746,aerophone,aero_double-reed
747,aerophone,aero_side
748,aerophone,aero_lip-vibrated
749,aerophone,aero_single-reed
750,aerophone,aero_side
751,aerophone,aero_side
752,aerophone,aero_single-reed
753,aerophone,aero_lip-vibrated
754,chordophone,chrd_composite
755,aerophone,aero_lip-vibrated
756,aerophone,aero_lip-vibrated
757,aerophone,aero_side
758,aerophone,aero_single-reed
759,aerophone,aero_side
760,aerophone,aero_single-reed
761,aerophone,aero_lip-vibrated
762,aerophone,aero_side
763,aerophone,aero_side
764,chordophone,chrd_composite
765,chordophone,chrd_simple
766,aerophone,aero_single-reed
767,aerophone,aero_free-reed
768,aerophone,aero_lip-vibrated
769,aerophone,aero_lip-vibrated
770,chordophone,chrd_composite
771,chordophone,chrd_simple
772,aerophone,aero_lip-vibrated
773,aerophone,aero_single-reed
774,aerophone,aero_double-reed
775,aerophone,aero_lip-vibrated
776,aerophone,aero_lip-vibrated
777,chordophone,chrd_composite
778,aerophone,aero_lip-vibrated
779,aerophone,aero_single-reed
780,aerophone,aero_single-reed
781,aerophone,aero_single-reed
782,aerophone,aero_lip-vibrated
783,chordophone,chrd_simple
784,aerophone,aero_lip-vibrated
785,chordophone,chrd_simple
786,aerophone,aero_lip-vibrated
787,aerophone,aero_side
788,aerophone,aero_side
789,aerophone,aero_single-reed
790,aerophone,aero_single-reed
791,aerophone,aero_lip-vibrated
792,chordophone,chrd_composite
793,chordophone,chrd_composite
794,aerophone,aero_lip-vibrated
795,aerophone,aero_single-reed
796,aerophone,aero_side
797,aerophone,aero_lip-vibrated
798,aerophone,aero_double-reed
799,aerophone,aero_single-reed
800,aerophone,aero_side
801,aerophone,aero_double-reed
802,chordophone,chrd_simple
803,aerophone,aero_lip-vibrated
804,aerophone,aero_double-reed
805,aerophone,aero_lip-vibrated
806,chordophone,chrd_composite
807,aerophone,aero_lip-vibrated
808,aerophone,aero_side
809,aerophone,aero_double-reed
810,aerophone,aero_lip-vibrated
811,chordophone,chrd_composite
812,chordophone,chrd_composite
813,aerophone,aero_single-reed
814,aerophone,aero_free-reed
815,aerophone,aero_lip-vibrated
816,aerophone,aero_lip-vibrated
817,chordophone,chrd_composite
818,aerophone,aero_side
819,aerophone,aero_lip-vibrated
820,aerophone,aero_side
821,chordophone,chrd_composite
822,aerophone,aero_single-reed
823,chordophone,chrd_composite
824,aerophone,aero_side
825,chordophone,chrd_simple
826,aerophone,aero_single-reed
827,aerophone,aero_lip-vibrated
828,aerophone,aero_side
829,aerophone,aero_double-reed
830,aerophone,aero_lip-vibrated
831,chordophone,chrd_composite
832,aerophone,aero_lip-vibrated
833,chordophone,chrd_composite
834,aerophone,aero_side
835,chordophone,chrd_composite
836,aerophone,aero_single-reed
837,chordophone,chrd_composite
838,aerophone,aero_single-reed
839,aerophone,aero_lip-vibrated
840,chordophone,chrd_composite
841,chordophone,chrd_composite
842,chordophone,chrd_composite
843,aerophone,aero_double-reed
844,aerophone,aero_lip-vibrated
845,chordophone,chrd_composite
846,aerophone,aero_lip-vibrated
847,chordophone,chrd_composite
848,chordophone,chrd_composite
849,chordophone,chrd_composite
850,aerophone,aero_single-reed
851,aerophone,aero_side
852,chordophone,chrd_simple
853,aerophone,aero_lip-vibrated
854,chordophone,chrd_composite
855,aerophone,aero_side
856,aerophone,aero_single-reed
857,aerophone,aero_side
858,aerophone,aero_lip-vibrated
859,aerophone,aero_side
860,aerophone,aero_lip-vibrated
861,chordophone,chrd_composite
862,aerophone,aero_lip-vibrated
863,aerophone,aero_side
864,aerophone,aero_lip-vibrated
865,aerophone,aero_single-reed
866,aerophone,aero_side
867,aerophone,aero_double-reed
868,aerophone,aero_side
869,chordophone,chrd_composite
870,aerophone,aero_double-reed
871,chordophone,chrd_simple
872,chordophone,chrd_composite
873,chordophone,chrd_simple
874,chordophone,chrd_composite
875,aerophone,aero_double-reed
876,chordophone,chrd_simple
877,chordophone,chrd_simple
878,aerophone,aero_single-reed
879,aerophone,aero_double-reed
880,aerophone,aero_double-reed
881,chordophone,chrd_composite
882,chordophone,chrd_composite
883,aerophone,aero_lip-vibrated
884,aerophone,aero_lip-vibrated
885,aerophone,aero_double-reed
886,chordophone,chrd_composite
887,aerophone,aero_single-reed
888,aerophone,aero_lip-vibrated
889,chordophone,chrd_composite
890,chordophone,chrd_composite
891,aerophone,aero_free-reed
892,aerophone,aero_lip-vibrated
893,aerophone,aero_single-reed
894,aerophone,aero_side
895,chordophone,chrd_simple
896,aerophone,aero_double-reed
897,aerophone,aero_single-reed
898,chordophone,chrd_composite
899,aerophone,aero_lip-vibrated
900,aerophone,aero_side
901,aerophone,aero_lip-vibrated
902,aerophone,aero_lip-vibrated
903,chordophone,chrd_composite
904,aerophone,aero_free-reed
905,aerophone,aero_lip-vibrated
906,aerophone,aero_lip-vibrated
907,chordophone,chrd_simple
908,aerophone,aero_side
909,aerophone,aero_single-reed
910,chordophone,chrd_simple
911,aerophone,aero_lip-vibrated
912,aerophone,aero_lip-vibrated
913,chordophone,chrd_composite
914,aerophone,aero_lip-vibrated
915,aerophone,aero_side
916,aerophone,aero_free-reed
917,chordophone,chrd_composite
918,aerophone,aero_lip-vibrated
919,aerophone,aero_single-reed
920,aerophone,aero_side
921,aerophone,aero_side
922,aerophone,aero_lip-vibrated
923,aerophone,aero_double-reed
924,chordophone,chrd_composite
925,aerophone,aero_double-reed
926,aerophone,aero_lip-vibrated
927,chordophone,chrd_composite
928,chordophone,chrd_composite
